,city,href
0,Ciudad de México,/Restaurants-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast.html
1,Guadalajara,/Restaurants-g150798-Guadalajara_Guadalajara_Metropolitan_Area.html
2,Cancún,/Restaurants-g150807-Cancun_Yucatan_Peninsula.html
3,Playa del Carmen,/Restaurants-g150812-Playa_del_Carmen_Yucatan_Peninsula.html
4,Monterrey,/Restaurants-g150782-Monterrey_Northern_Mexico.html
5,Puerto Vallarta,/Restaurants-g150793-Puerto_Vallarta.html
6,Santiago de Querétaro,/Restaurants-g479232-Queretaro_City_Central_Mexico_and_Gulf_Coast.html
7,Mérida,/Restaurants-g150811-Merida_Yucatan_Peninsula.html
8,Puebla,/Restaurants-g152773-Puebla_Central_Mexico_and_Gulf_Coast.html
9,Zapopan,/Restaurants-g1006488-Zapopan_Guadalajara_Metropolitan_Area.html
10,Tijuana,/Restaurants-g150776-Tijuana_Baja_California.html
11,Tulum,/Restaurants-g150813-Tulum_Yucatan_Peninsula.html
12,Oaxaca,/Restaurants-g150801-Oaxaca_Southern_Mexico.html
13,Cabo San Lucas,/Restaurants-g152515-Cabo_San_Lucas_Los_Cabos_Baja_California.html
14,León,/Restaurants-g154240-Leon_Central_Mexico_and_Gulf_Coast.html
15,San Luis Potosí,/Restaurants-g153477-San_Luis_Potosi_Central_Mexico_and_Gulf_Coast.html
16,San Miguel de Allende,/Restaurants-g151932-San_Miguel_de_Allende_Central_Mexico_and_Gulf_Coast.html
17,Municipio de Ensenada,/Restaurants-g10767851-Ensenada_Municipality_Baja_California.html
18,Mazatlán,/Restaurants-g150792-Mazatlan_Pacific_Coast.html
19,Morelia,/Restaurants-g152771-Morelia_Central_Mexico_and_Gulf_Coast.html
20,San Cristóbal de las Casas,/Restaurants-g150802-San_Cristobal_de_las_Casas_Southern_Mexico.html
21,Aguascalientes,/Restaurants-g153976-Aguascalientes_Central_Mexico_and_Gulf_Coast.html
22,Cozumel,/Restaurants-g150809-Cozumel_Yucatan_Peninsula.html
23,San José Del Cabo,/Restaurants-g152516-San_Jose_del_Cabo_Los_Cabos_Baja_California.html
24,Acapulco,/Restaurants-g150787-Acapulco_Pacific_Coast.html
25,Cuernavaca,/Restaurants-g150797-Cuernavaca_Central_Mexico_and_Gulf_Coast.html
26,La Paz,/Restaurants-g150771-La_Paz_Baja_California.html
